WKT,ID,NAME,TAGS,WEBSITE,ADDRESS,PHONE,HOURS,CREATED_AT,UPDATED_AT,GEOMETRY_X,GEOMETRY_Y
"POINT (174.006543000000136 -41.290364)",1055010,Picton Four Square Supermarket,"supermarket, groceries",http://www.foursquare.co.nz,"49 High Street, Picton",(03) 573 6443,,2006-10-29 13:27:21,2006-10-29 13:27:21,174.006543,-41.290364
"POINT (173.681362 -42.400426)",1054680,Kaikoura Four Square Supermarket,"supermarket, groceries",http://www.foursquare.co.nz,"31 West End, Kaikoura",(03) 319 5332,,2006-10-29 13:27:05,2006-10-29 13:27:05,173.681362,-42.400426
"POINT (168.032157000084027 -45.970236998692748)",1054550,Nightcaps Four Square Supermarket,"supermarket, groceries",http://www.foursquare.co.nz,"11 Johnston Road, Nightcaps",(03) 225 7885,,2006-10-29 13:14:22,2006-10-29 13:14:22,168.032157,-45.9702369987
"POINT (174.80609500000287 -41.222361999997453)",1029450,Johnsonville Countdown,supermarket,http://www.progressive.co.nz,"Moorefield Road, Johnsonville",(04) 477 2133,"Mon - Sun, 7am - 10pm",2006-08-31 13:52:49,2007-11-04 16:33:20,174.806095,-41.222362
"POINT (174.851860000003654 -36.898443999997738)",1031360,New World Panmure,supermarket,http://www.newworld.co.nz,"22 Jellicoe Rd, Panmure, Auckland",(09) 570 4978,7 days 8am-8pm,2006-08-31 14:05:31,2007-02-05 19:10:32,174.85186,-36.898444
"POINT (176.91615600017434 -39.582923999760609)",1056170,Clive Four Square,"supermarket, groceries, Lotto",http://www.foursquare.co.nz,"198 Main Road, Clive",(07) 870 0850,,2006-10-29 13:28:17,2007-03-29 12:47:40,176.916156,-39.5829239998
"POINT (170.119449999976439 -45.507579999950494)",1054900,Middlemarch Four Square Supermarket,"supermarket, groceries",http://www.foursquare.co.nz,"Swansea Street, Middlemarch",(03) 464 3762,,2006-10-29 13:27:15,2006-12-16 21:44:43,170.11945,-45.50758
"POINT (168.661558999894169 -45.025139999434423)",1029230,Queenstown FreshChoice,"supermarket, Lotto",http://www.progressive.co.nz,"64 Gorge Road, Queenstown",(03) 441 1252,"7am - Midnight, 7 days",2006-08-31 13:52:44,2007-03-29 13:09:47,168.661559,-45.0251399994
"POINT (170.956607999995612 -45.102773999993744)",1054750,Junction Four Square Supermarket,"supermarket, groceries",http://www.foursquare.co.nz,"75 Wansbeck Street, Oamaru",(03) 434 8583,,2006-10-29 13:27:08,2006-10-29 13:27:08,170.956608,-45.102774
"POINT (172.823717 -41.389002)",1054950,Tapawera Four Square Supermarket,"supermarket, groceries",http://www.foursquare.co.nz,"92 Main Road, Tapawera",(03) 522 4010,,2006-10-29 13:27:18,2007-09-10 19:47:26,172.823717,-41.389002
"POINT (174.770339000002593 -41.296492999997739)",1055210,Shalimar Supermarket,"supermarket, groceries",,"308 Willis Street, Wellington",(04) 384 5053,,2006-10-29 13:27:30,2006-10-29 13:27:30,174.770339,-41.296493
"POINT (173.010903 -41.109724)",1029300,Motueka FreshChoice,"supermarket, Lotto",http://www.progressive.co.nz,"108 High Street, Motueka",(03) 528 0500,"Mon - Sun, 7am - 9pm",2006-08-31 13:52:46,2007-03-29 13:08:30,173.010903,-41.109724
"POINT (175.780928000031565 -38.046816999971966)",1029910,Putararu Woolworths,supermarket,http://www.progressive.co.nz,"74 Tirau St, Putaruru",(07) 883 8072,"Mon - Sun, 7am - 10pm",2006-08-31 13:53:01,2007-11-16 11:30:04,175.780928,-38.046817
"POINT (168.013653000130461 -46.352205998648927)",1029000,Riverton SuperValue,supermarket,http://www.progressive.co.nz,"163 Palmerston Street, Riverton",(03) 234 8541,"Mon - Sun, 7.30am - 7pm",2006-08-31 13:52:39,2006-09-01 11:55:20,168.013653,-46.3522059986
"POINT (174.905373000003806 -41.207847999996517)",1029490,Lower Hutt Countdown,"supermarket, Lotto",http://www.progressive.co.nz,"261 High Street, Lower Hutt",(04) 566 1281,"Mon - Sun, 24 hours",2006-08-31 13:52:50,2007-03-18 18:45:25,174.905373,-41.207848
"POINT (175.6751790000244 -39.471702999975747)",1055660,Waiouru Four Square,"supermarket, groceries",http://www.foursquare.co.nz,"Querre Drive, Waiouru",(06) 387 6667,,2006-10-29 13:27:53,2007-10-13 08:52:21,175.675179,-39.471703
"POINT (174.826033000003065 -41.169955999997299)",1029410,Tawa Woolworths,supermarket,http://www.progressive.co.nz,"35 Oxford St, Tawa, Wellington",(04) 232 7057,"Mon - Sun, 7am - 10pm",2006-08-31 13:52:48,2007-10-21 14:52:08,174.826033,-41.169956
"POINT (176.95756000018298 -39.615967999744569)",1056180,Cape View Four Square,"supermarket, groceries",http://www.foursquare.co.nz,"12 Clifton Road, Haumoana, Hawkes Bay",(07) 875 0598,,2006-10-29 13:28:18,2007-08-25 17:44:50,176.95756,-39.6159679997
"POINT (172.738831 -43.562353)",1030580,New World Redcliffs,"Supermarket, BNZ ATM",http://www.newworld.co.nz,"188 Main Road, Redcliffs, Christchurch",(03) 384 1199,"8am-9pm, 7 days a week",2006-08-31 14:05:11,2008-05-23 15:16:50,172.738831,-43.562353
"POINT (178.045120000567323 -38.674977998969823)",1029660,Kaiti SuperValue,supermarket,http://www.progressive.co.nz,"Kaiti Mall, Wainui Road, Gisborne",(06) 868 8027,"Mon - Sun, 8am - 7pm",2006-08-31 13:52:54,2007-10-16 19:49:11,178.045120001,-38.674977999
"POINT (175.378773000012757 -40.075219999987588)",1030900,New World Marton,supermarket,http://www.newworld.co.nz,"418 Wellington Road, Marton",(06) 327 7929,"7am-9pm, 7 days a week",2006-08-31 14:05:19,2006-09-01 11:55:31,175.378773,-40.07522
"POINT (174.869403000003814 -37.799757999997446)",1053700,Raglan Four Square,supermarket,http://www.foursquare.co.nz,"16-18 Bow Street, Raglan",(07) 825 8300,,2006-10-28 17:45:53,2006-10-28 17:45:54,174.869403,-37.799758
"POINT (174.324253000000624 -35.725175999999713)",1028920,PAK 'n SAVE Whangarei,"supermarket, bakery, Lotto",http://www.paknsave.co.nz,"Walton Street, Whangarei",(09) 438 1488,"Mon-Fri 8am-9pm, Sat & Sun 8am-8pm",2006-08-31 11:40:21,2007-10-29 09:27:45,174.324253,-35.725176
"POINT (174.764578000002842 -36.772459999998311)",1030230,Milford Woolworths,supermarket,http://www.progressive.co.nz,"143 Kitchener Road,Milford",(09) 489 2240,"Mon - Sun, 7am - 10pm",2006-08-31 13:53:08,2007-12-08 16:20:25,174.764578,-36.77246
"POINT (172.654577 -43.557809)",1030550,New World St Martins,supermarket,http://www.newworld.co.nz,"96 Wilsons Road, Christchurch",(03) 337 0811,"8am-9pm, 7 days a week",2006-08-31 14:05:10,2006-11-28 16:02:16,172.654577,-43.557809
"POINT (173.277614 -41.272508)",1029320,Nelson Countdown,"supermarket, Lotto",http://www.progressive.co.nz,"35 St Vincent Street, Nelson",(03) 546 7443,"Mon - Sun, 7am - 11pm",2006-08-31 13:52:46,2007-03-18 18:45:05,173.277614,-41.272508
"POINT (172.600689 -43.550348)",1029100,Lincoln Road SuperValue,"supermarket, Lotto",http://www.progressive.co.nz,"108 Lincoln Road, Addington",(03) 338 5395,"6.30am - 10pm, 7 days",2006-08-31 13:52:41,2007-05-14 21:52:52,172.600689,-43.550348
"POINT (175.052676000005903 -39.937036999994909)",1029530,Wanganui Countdown,supermarket,http://www.progressive.co.nz,"Cnr Taupo Quay & Wilson St, Wanganui",(06) 345 8720,"Mon - Sun, 7am - 9pm",2006-08-31 13:52:51,2007-04-21 12:38:32,175.052676,-39.937037
"POINT (175.637768000021822 -40.327390999976622)",1055580,Kaimanawa Four Square,"supermarket, groceries, Lotto",http://www.foursquare.co.nz,"1 Kaimanawa Street, Palmerston North",(06) 357 2316,,2006-10-29 13:27:49,2007-05-07 16:51:54,175.637768,-40.327391
"POINT (174.326600000000639 -35.686581999999717)",1056510,Tikipunga Four Square,"supermarket, groceries",http://www.foursquare.co.nz,"175 Kiripaka Road, Tikipunga, Whangarei",(09) 437 0757,,2006-10-29 13:28:34,2006-10-29 13:28:34,174.3266,-35.686582
"POINT (174.622461000001834 -36.832327999998967)",1030380,Massey Woolworths,supermarket,http://www.progressive.co.nz,"Cnr Royal Rd & Moire Rd, Massey",(09) 833 9596,"Mon - Sun, 8am - 9pm",2006-08-31 13:53:12,2008-02-23 23:53:48,174.622461,-36.832328
"POINT (174.779992000002636 -41.279305999997668)",1121460,New World Railway Metro,supermarket,http://www.newworld.co.nz,"Wellington Railway Station, Bunny Street, Wellington",(04) 499 1299,"Mon-Sat 6am-10pm, Sun 7am-8pm",2008-03-03 15:49:18,2008-03-03 15:49:18,174.779992,-41.279306
"POINT (175.002594000004962 -40.917565999995368)",1028750,PAK 'n SAVE Kapiti,"supermarket, Lotto",http:http://www.kapitipaknsave.co.nz/,"Coastlands Shopping Centre, Rimu Road, Paraparaumu",(04) 296 6222,"7am-11pm, 7 days a week",2006-08-31 11:40:17,2008-03-29 01:20:53,175.002594,-40.917566
"POINT (173.957423000000148 -39.115453)",1055710,Oakura Four Square,"supermarket, groceries, beer, wine, lotto",http://www.foursquare.co.nz,"599 Main Rd, Oakura, New Plymouth",(06) 752 7862,,2006-10-29 13:27:55,2008-04-03 17:49:21,173.957423,-39.115453
"POINT (175.474882000016976 -37.907231999986188)",1056050,Shakespeare Street Four Square,"supermarket, groceries, Lotto",http://www.foursquare.co.nz,"173 Shakespeare Street, Cambridge",(07) 827 5315,,2006-10-29 13:28:12,2008-04-04 09:03:08,175.474882,-37.907232
"POINT (174.286871000000531 -39.337010999999698)",1031010,New World Stratford,"supermarket, Lotto",http://www.newworld.co.nz,"124 Regan Street, Stratford",(06) 765 6422,"8am-8pm, 7 days a week",2006-08-31 14:05:22,2008-04-04 09:03:38,174.286871,-39.337011
"POINT (173.26313 -35.11344)",1028900,PAK 'n SAVE Kaitaia,"supermarket, Lotto",http://www.paknsave.co.nz,"Puckey Ave, Kaitaia",(09) 408 6222,"8am - 8pm, 7 days a week",2006-08-31 11:40:21,2008-04-04 09:07:06,173.26313,-35.11344
"POINT (168.128189000111831 -46.897584998806664)",1054540,Ship to Shore Four Square Supermarket,"supermarket, groceries, Lotto",http://www.foursquare.co.nz,"Elgin Terrace, Halfmoon Bay, Stewart Island",(03) 219 1069,,2006-10-29 13:14:22,2008-04-04 09:44:45,168.128189,-46.8975849988
"POINT (174.879191000003544 -41.129562999996807)",1055120,Waitangirua Four Square,"supermarket, groceries, Lotto",http://www.foursquare.co.nz,"Waitangirua Mall, Cnr Warspite Ave & Niagara St, Waitangirua, Porirua",(04) 235 8160,,2006-10-29 13:27:26,2008-04-04 10:49:49,174.879191,-41.129563
"POINT (168.352609999992183 -46.413272999110518)",1028690,PAK 'n SAVE Invercargill,"supermarket, Lotto",http://www.paknsave.co.nz,"95 Tay Street, Invercargill",(03) 214 4864,"8am - 9pm, 7 days a week",2006-08-31 11:40:15,2008-04-04 11:01:25,168.35261,-46.4132729991
"POINT (169.134909999909212 -44.696569999719706)",1030630,New World Wanaka,"supermarket, Lotto",http://www.newworld.co.nz,"20 Dunmore Street, Wanaka",(03) 443 0048,"8am-8pm, 7 days a week",2006-08-31 14:05:12,2008-04-04 11:03:02,169.13491,-44.6965699997
"POINT (168.74163199989485 -45.025751999493991)",1030620,New World Wakatipu,"supermarket, Lotto",http://www.newworld.co.nz,"Hawthorne Drive, Remarkables Park, Queenstown",(03) 442 3045,"8am-8pm, 7 days a week",2006-08-31 14:05:12,2008-04-04 11:15:23,168.741632,-45.0257519995
"POINT (174.628501000001847 -36.857578999998957)",1028960,PAK 'n SAVE Lincoln North,"supermarket, petrol station, Lotto",http://www.paknsave.co.nz,"Lincoln North Shopping Centre, Lincoln Road, Henderson, Auckland",(09) 837 1830,"8am-10pm, 7 days a week",2006-08-31 11:40:22,2008-04-04 09:48:21,174.628501,-36.857579
"POINT (174.433760000000973 -36.661563999999522)",1056420,Parakai Four Square,"supermarket, groceries, Lotto",http://www.foursquare.co.nz,"137 Parkhurst Road, Helensville",(09) 420 8186,,2006-10-29 13:28:30,2008-04-04 09:51:56,174.43376,-36.661564
"POINT (174.090546000000217 -35.28246)",1056410,Paihia Four Square,"supermarket, groceries, Lotto",http://www.foursquare.co.nz,"41 Williams Road, Paihia",(09) 420 8002,,2006-10-29 13:28:29,2008-04-04 09:54:03,174.090546,-35.28246
"POINT (175.152540000007917 -38.323359999993848)",1031190,New World Te Kuiti,"supermarket, Lotto",http://www.newworld.co.nz,"Te Kumi Road, Te Kuiti",(07) 878 8072,7 days 8am-8pm,2006-08-31 14:05:27,2008-04-04 11:00:08,175.15254,-38.32336
"POINT (171.047189999996448 -44.733716999995295)",1030720,New World Waimate,"supermarket, Lotto",http://www.newworld.co.nz,"95 Queen St, Waimate",(03) 689 8107,"Mon-Tues 8am-8pm, Wed-Fri 8am-9pm, Sat & Sun 8am-7pm",2006-08-31 14:05:15,2008-04-04 11:02:52,171.04719,-44.733717
"POINT (176.211989000068229 -38.081081999933339)",1055930,Ngongotaha Four Square,"supermarket, groceries, Lotto",http://www.foursquare.co.nz,"1 Hall Road, Ngongotaha",(07) 357 4475,,2006-10-29 13:28:06,2008-04-04 11:13:32,176.211989,-38.0810819999
"POINT (176.238379000071092 -38.147550999929685)",1031090,New World Westend,"supermarket, Lotto",http://www.newworld.co.nz,"247 Old Taupo Road, Rotorua",(07) 349 7720,"Mon-Fri 7.30am-9pm, Sat & Sun 8am-8pm",2006-08-31 14:05:24,2008-04-04 11:15:34,176.238379,-38.1475509999
"POINT (174.84237400000319 -41.145108999997156)",1122130,Moore Wilson & Co Ltd - Porirua,"Supermarket. Food service, wine, beer, spirits, fresh food, fish. Trade & public",http://www.moorewilson.co.nz/,"Kenepuru Drive, Porirua",04 237 8320,"Mon-Sat 8am-6pm, Sun 9am-4pm",2008-04-07 17:23:26,2008-04-07 17:23:26,174.842374,-41.145109
"POINT (174.77996800000264 -41.29582499999767)",1109790,Moore Wilson & Co Ltd - Wellington,"Supermarket. Food service, wine, beer, spirits, fresh food, fish. Trade & public",http://www.moorewilson.co.nz,"Corner College & Tory Streets, Wellington",04 384 9906,,2007-07-06 14:19:32,2008-04-07 17:24:10,174.779968,-41.295825
"POINT (176.199138000067876 -37.653977999936686)",1031110,New World Mt Maunganui,"supermarket, Lotto",http://www.newworld.co.nz,"Cnr Tweed St & Maunganui Rd, Mt Maunganui",(07) 572 7080,"8am-9pm, 7 days a week",2006-08-31 14:05:25,2007-05-14 22:33:17,176.199138,-37.6539779999
"POINT (174.730403000002553 -36.858702999998485)",1122370,Harvest Wholefoods,"Wholefoods supermarket. Organic certified produce, natural and organic bulk goods, packaged grains and flours, eco-friendly cleaning products, organic grocery items and pet food",http://www.huckleberryfarms.co.nz/,"405 Richmond Road, Grey Lynn, Auckland",(09) 376 3107,,2008-04-19 18:28:15,2008-04-19 18:28:15,174.730403,-36.858703
"POINT (172.656648 -43.520376)",1030600,New World Richmond,supermarket richmond stanmore avonside,http://www.newworld.co.nz,"288 Stanmore Road, Christchurch",(03) 389 7617,"8am-8pm, 7 days a week",2006-08-31 14:05:12,2008-04-24 11:32:10,172.656648,-43.520376
"POINT (176.2836380000779 -37.699526999925759)",1029760,Papamoa Woolworths,supermarket,http://www.progressive.co.nz,"Royal Palm Beach, Papamoa Shopping Centre, Domain Rd, Papamoa",(07) 572 0170,"Mon - Sun, 7am - 10pm",2006-08-31 13:52:57,2008-04-24 23:48:52,176.283638,-37.6995269999
"POINT (175.657275000021997 -40.953982999974727)",1122130,Moore Wilson & Co Ltd - Masterton,"Supermarket. Food service, wine, beer, spirits, fresh food, fish",http://www.moorewilson.co.nz/,"120 Dixon Street, Masterton",06 377 5194,"Mon-Sat 8am-6pm, Sun 9am-5pm",2008-04-07 17:22:29,2008-05-10 09:51:44,175.657275,-40.953983
"POINT (175.62359000002121 -40.350239999977333)",1029580,Broadway Woolworths,supermarket,http://www.progressive.co.nz,"Cnr Albert St and Main St,  Palmerston North",(06) 357 2047,"Mon - Sun, 6am - midnight",2006-08-31 13:52:52,2008-05-15 20:40:18,175.62359,-40.35024
"POINT (174.326978000000651 -35.730157999999712)",1030150,Whangarei Countdown,"supermarket, Lotto",http://www.progressive.co.nz,"Whangarei Retail Centre,4 Okara Drive, Whangarei",(09) 430 3141,"Mon - Sun, 7am - 10pm",2006-08-31 13:53:06,2008-05-16 06:02:23,174.326978,-35.730158
"POINT (167.716387000253945 -45.415041998145313)",1029010,Te Anau SuperValue,supermarket,http://www.progressive.co.nz,"Cnr Town Centre & The Lane, Te Anau",(03) 249 9600,"Mon - Sun, 8am - 8pm",2006-08-31 13:52:39,2007-12-02 19:56:21,167.716387,-45.4150419981
"POINT (176.223568000070628 -37.674020999933653)",1029780,Bayfair Woolworths,supermarket,http://www.progressive.co.nz,"1-19 Girven Rd, Mt Maunganui",(07) 575 5047,7 days 7am-10pm,2006-08-31 13:52:58,2007-02-22 11:18:54,176.223568,-37.6740209999
"POINT (174.523813000001326 -36.293695999999322)",1091500,Wellsford Four Square,"supermarket, groceries, beer, wine",http://www.foursquare.co.nz,"201 Rodney St, Wellsford",(09) 423 8222,,2007-01-05 14:47:05,2007-05-27 21:47:37,174.523813,-36.293696
"POINT (169.205765999919663 -45.048365999746053)",1054830,Old Cromwell Four Square Supermarket,"supermarket, groceries",http://www.foursquare.co.nz,"58 Achil Street, Cromwell",(03) 445 0377,,2006-10-29 13:27:12,2008-02-11 20:04:23,169.205766,-45.0483659997
"POINT (176.913720000175005 -39.49430999976272)",1028800,PAK 'n SAVE Napier,"supermarket, Lotto",http://www.paknsave.co.nz,"25 Munroe Street, Napier",(06) 834 3450,"6am to Midnight, 7 Days",2006-08-31 11:40:18,2008-05-04 11:16:25,176.91372,-39.4943099998
"POINT (168.860738999928031 -46.196994999557234)",1054490,Clutterbucks Four Square Supermarket,"supermarket, groceries, Lotto",http://www.foursquare.co.nz,"64 Main Street, Mataura",(03) 203 8490,,2006-10-29 13:14:19,2007-03-29 12:48:01,168.860739,-46.1969949996
"POINT (174.825673000003036 -41.30696199999727)",1055230,Darlington Four Square,"supermarket, groceries",http://www.foursquare.co.nz,"127 Darlington Road, Miramar",(04) 388 6694,,2006-10-29 13:27:31,2006-10-29 13:27:31,174.825673,-41.306962
"POINT (170.098436999974638 -45.12875099994892)",1054820,Ranfurly Four Square Supermarket,"supermarket, groceries",http://www.foursquare.co.nz,"24 Charlemont Street, Ranfurly",(03) 444 9183,,2006-10-29 13:27:12,2006-10-29 13:27:12,170.098437,-45.1287509999
"POINT (170.48751899998831 -45.906874999977902)",1054890,St Clair Four Square Supermarket,"supermarket, groceries",http://www.foursquare.co.nz,"145 Forbury Road, Dunedin",(03) 455 7658,,2006-10-29 13:27:15,2007-01-23 13:09:15,170.487519,-45.906875
"POINT (174.697845000002303 -36.605537999998688)",1056460,Red Beach Four Square,"supermarket, groceries",http://www.foursquare.co.nz,"Shop 1, 42 Red Beach Road, Hibiscus Coast",(09) 426 6987,,2006-10-29 13:28:31,2007-01-23 13:11:16,174.697845,-36.605538
"POINT (169.256411999917731 -44.610790999769158)",1054810,Sailz Lake Hawea Store,"General store. Cafe, bar, restaurant. Supermarket, groceries, takeaways, fishing licenses",,"33 Capell Avenue, Lake Hawea",(03) 443 1696,,2006-10-29 13:27:11,2008-01-01 21:35:36,169.256412,-44.6107909998
"POINT (173.5368 -34.98932)",1056360,Mangonui Four Square,"supermarket, groceries",http://www.foursquare.co.nz,"Beach Road, Mangonui",(09) 406 0007,,2006-10-29 13:28:27,2007-01-11 17:57:03,173.5368,-34.98932
"POINT (174.828315000003414 -36.876393999997909)",1030250,Meadowbank Foodtown,supermarket,http://www.progressive.co.nz,"Meadowbank Shopping Centre, 35 - 47 St Johns Road, Meadowbank, Auckland",(09) 528 7065,Mon-Sun 8am-9pm,2006-08-31 13:53:09,2007-07-23 16:36:58,174.828315,-36.876394
"POINT (174.283430000000521 -39.590743999999702)",1096950,PAK 'n SAVE Hawera,"supermarket, Lotto",http://www.paknsave.co.nz,"54 Princes Street, Hawera",06 278 5551,7am-10pm 7 days,2007-03-29 13:25:27,2007-09-09 17:17:44,174.28343,-39.590744
"POINT (174.738197000002344 -41.284367999997983)",1029440,Karori Woolworths,supermarket,http://www.progressive.co.nz,"236 Karori Road, Karori, Wellington",(04) 476 6780,"Mon - Sun, 7am - 10pm",2006-08-31 13:52:49,2007-11-04 15:39:54,174.738197,-41.284368
"POINT (174.76576000000253 -41.257899999997782)",1029460,Churchill Drive Woolworths,supermarket,http://www.progressive.co.nz,"120 Churchill Drive, Crofton Downs, Wellington",(04) 479 2133,"Mon - Sun, 7am - 10pm",2006-08-31 13:52:50,2007-11-04 15:58:26,174.76576,-41.2579
"POINT (173.386241 -35.536609)",1056350,Omapere Four Square,"supermarket, groceries",http://www.foursquare.co.nz,"State Highway, Omapere",(09) 405 8892,,2006-10-29 13:28:26,2007-03-31 14:02:47,173.386241,-35.536609
"POINT (175.615221000020824 -40.358063999977752)",1029570,Palmerston North Countdown,supermarket,http://www.progressive.co.nz,"Cnr Ferguson & Ashley Street, Palmerston North",(06) 356 6066,"Mon - Sun, 7am - midnight",2006-08-31 13:52:52,2007-08-19 11:27:51,175.615221,-40.358064
"POINT (175.611745000020704 -40.359723999977916)",1028790,PAK 'n SAVE Palmerston North,supermarket,http://www.paknsave.co.nz,"Ferguson Street, Palmerston North",(06) 356 4043,"8am - 12am, 7 Days a week",2006-08-31 11:40:18,2007-08-19 11:31:01,175.611745,-40.359724
"POINT (174.085805000000221 -39.056176999999877)",1029620,New Plymouth Countdown,supermarket,http://www.progressive.co.nz,"120 Leach Street, New Plymouth",(06) 757 8233,"Mon - Sun, 7am - midnight",2006-08-31 13:52:53,2007-09-09 17:45:06,174.085805,-39.056177
"POINT (178.020594000558816 -38.664183998999953)",1028820,PAK 'n SAVE Gisborne City,supermarket,http://www.paknsave.co.nz,"Childers Road, Gisborne",(06) 868 9029,"8am-8pm, 7 days a week",2006-08-31 11:40:19,2007-09-09 18:05:41,178.020594001,-38.664183999
"POINT (174.871198000003858 -36.912619999997588)",1030290,Pakuranga Foodtown,supermarket,http://www.progressive.co.nz,"Pakuranga Town Centre, Pakuranga",(09) 576 6041,"Mon - Sun, 7am-10pm",2006-08-31 13:53:09,2007-09-09 18:09:29,174.871198,-36.91262
"POINT (174.980884000004664 -41.174308999995603)",1030880,New World Stokes Valley,supermarket,http://www.newworld.co.nz,"16 Oates Street, Stokes Valley",(04) 939 6400,"8am-9pm, 7 days a week",2006-08-31 14:05:19,2007-09-09 18:19:57,174.980884,-41.174309
"POINT (175.472483000016865 -37.893583999986269)",1031140,New World Cambridge,supermarket,http://www.newworld.co.nz,"14 Anzac Street, Cambridge",(07) 827 7533,"8am-8.30pm, 7 days a week",2006-08-31 14:05:25,2007-09-09 18:25:40,175.472483,-37.893584
"POINT (174.368134000000737 -35.755854999999649)",1031300,New World Onerahi,supermarket,http://www.newworld.co.nz,"128 Onerahi Road, Sherwood Rise, Onerahi, Whangarei",(09) 436 0938,"8am-8pm, 7 days a week",2006-08-31 14:05:30,2007-10-14 18:03:32,174.368134,-35.755855
"POINT (176.849231000160842 -39.534453999784681)",1031030,New World McDonald's,"supermarket, Lotto",http://www.newworld.co.nz,"230 Gloucester Street, Taradale, Napier",(06) 844 6240,"6am-Midnight, 7 days a week",2006-08-31 14:05:23,2007-09-09 17:06:11,176.849231,-39.5344539998
"POINT (174.077652000000228 -39.05767199999989)",1031000,New World New Plymouth,"supermarket, Lotto",http://www.newworld.co.nz,"78 Courtenay Street, New Plymouth",(06) 759 9052,"7am-Midnight, 7 days a week",2006-08-31 14:05:22,2007-09-09 18:12:50,174.077652,-39.057672
"POINT (174.746784000002691 -36.714587999998422)",1031320,New World Browns Bay,supermarket,http://www.newworld.co.nz,"8 Bute Road, Browns Bay, Auckland",(09) 478 8058,"8am - 8pm, 7 days a week",2006-08-31 14:05:30,2007-09-09 18:16:12,174.746784,-36.714588
"POINT (170.962716999994996 -42.716535999994406)",1030730,New World Hokitika,"supermarket, Lotto",http://www.newworld.co.nz,"116 Revell Street, Hokitika",(03) 755 8390,"Mon-Sat 8am-7pm, Sun 9am-6pm",2006-08-31 14:05:15,2007-05-07 16:45:45,170.962717,-42.716536
"POINT (174.746555000002701 -36.715762999998425)",1030200,Browns Bay Woolworths,supermarket,http://www.progressive.co.nz,"10 Inverness Rd, Browns Bay, Auckland",(09) 478 0502,"Mon - Sun, 8am - 8pm",2006-08-31 13:53:08,2007-12-23 15:21:16,174.746555,-36.715763
"POINT (174.981598000004709 -40.919025999995654)",1055200,Raumati Village Four Square,"supermarket, groceries",http://www.foursquare.co.nz,"5 Margaret Road, Raumati",(04) 299 5979,,2006-10-29 13:27:29,2008-03-29 01:28:51,174.981598,-40.919026
"POINT (174.872657000003471 -41.223818999996844)",1028780,PAK 'n SAVE Petone,supermarket,http://www.pnspetone.co.nz/,"114-124 Jackson Street, Wellington",(04) 939 3663,"6am- 12 midnight, 7 days a week",2006-08-31 11:40:18,2008-05-04 11:47:15,174.872657,-41.223819
"POINT (170.829299999993594 -44.09820999999134)",1055050,Fairlie Four Square Supermarket,"supermarket, groceries",http://www.foursquare.co.nz,"Main Street, Fairlie",(03) 685 8081,,2006-10-29 13:27:22,2007-11-07 23:27:16,170.8293,-44.09821
"POINT (171.75222899999963 -43.902066999999683)",1029020,Ashburton Countdown,supermarket,http://www.progressive.co.nz,"Cnr East & Peter Streets, Ashburton",(03) 308 3541,"Mon - Sun, 8am - 9pm",2006-08-31 13:52:39,2006-12-04 23:31:55,171.752229,-43.902067
"POINT (172.557321 -43.511055)",1029140,Avonhead FreshChoice,"supermarket, Lotto",http://www.progressive.co.nz,"Cnr Withells Road & Merrin Street, Ilam",(03) 358 4765,"Mon - Sun, 7am - 9pm",2006-08-31 13:52:42,2007-05-08 23:31:08,172.557321,-43.511055
"POINT (174.772659000002591 -41.334634999997725)",1030880,New World Island Bay,supermarket,http://www.newworld.co.nz,"Medway Street, Island Bay",(04) 939 8253,"8am-10pm, 7 days a week",2006-08-31 14:05:19,2006-10-18 18:09:25,174.772659,-41.334635
"POINT (172.2988 -43.61598)",1054700,Burnham Four Square Supermarket,"supermarket, groceries",http://www.foursquare.co.nz,"Military Camp, Burnham",(03) 363 0115,,2006-10-29 13:27:06,2007-08-07 00:00:04,172.2988,-43.61598
"POINT (175.458860000014454 -41.218799999983922)",1055430,Martinborough Four Square Discount,"supermarket, groceries",http://www.foursquare.co.nz,"The Square, Martinborough",(06) 306 9116,,2006-10-29 13:27:41,2007-02-28 16:40:58,175.45886,-41.2188
"POINT (176.828728000172617 -37.977085999810278)",1055860,Clarkes Four Square,"supermarket, groceries",http://www.foursquare.co.nz,"Central Square, Edgecumbe",(07) 304 9267,,2006-10-29 13:28:02,2006-10-29 13:28:02,176.828728,-37.9770859998
"POINT (176.555210000104864 -39.99445999986267)",1031040,New World Waipukurau,supermarket,http://www.newworld.co.nz,"Northumberland Street, Waipukurau",(06) 858 8785,"7 days a week, from 7am to 8.30pm",2006-08-31 14:05:23,2008-01-05 19:43:00,176.55521,-39.9944599999
"POINT (175.065391000005889 -40.875080999994445)",1030790,New World Waikanae,supermarket,http://www.newworld.co.nz,"5 Parata Street, Waikanae",(04) 293 3400,"7am-10pm, 7 days a week",2006-08-31 14:05:16,2006-09-01 11:55:31,175.065391,-40.875081
"POINT (171.598868999999269 -41.75729399999944)",1030740,New World Westport,"supermarket, lotto, groceries",http://www.newworld.co.nz,"244 Palmerston Street, Westport",(03) 789 7669,"8am-8.30pm, 7 days a week",2006-08-31 14:05:15,2008-02-03 09:34:28,171.598869,-41.757294
